,January,February,March,April,May,June,July,August,September,October,November,December,Year
JAM,23.360281,23.391453,24.099426,24.791874,25.252016,25.982502,26.132818,26.44519,25.964005,25.41412,24.845867,24.11968,24.98326933333334
JEY,5.5495415,5.6990824,7.3495417,9.385321,12.4926605,15.141284,16.86789,17.019266,15.220182,12.058716,8.242202,6.2587156,10.940366891666665
JOR,8.765529,10.275309,13.420061,17.993727,22.40884,25.443249,27.20805,27.493326,25.325214,21.410915,15.413183,10.434886,18.799357416666666
JPN,-0.105965436,0.33215022,3.6034336,9.373735,13.991274,17.981733,22.028456,23.3261,19.606895,13.781488,8.050784,2.682054,11.221011448666665
KAZ,-12.686838,-11.770575,-4.662486,7.560922,15.404187,20.61474,22.888617,20.913769,14.75517,6.443232,-2.6568198,-9.728348,5.58963085
KEN,24.99699,25.799112,26.17638,25.545982,24.621727,23.515417,22.898705,23.219852,24.01025,24.838135,24.699879,24.702122,24.58537925
KGZ,-13.772987,-11.715096,-4.978586,3.3346856,8.021616,11.94734,14.9114685,14.262711,9.407025,2.6396632,-5.0407667,-10.950083,1.5055825499999997
KHM,24.751675,26.2427,27.480625,28.764221,28.375315,27.678488,27.209127,27.22294,26.89146,26.465332,25.688915,24.690561,26.788446583333336
KIR,27.5,27.549107,27.749105,27.77567,27.748215,27.547321,27.299107,27.300446,27.200893,27.30134,27.501339,27.60134,27.506156916666665
KNA,22.922018,22.78165,23.051376,23.574312,24.57156,25.120182,25.298166,25.579817,25.472477,25.115597,24.591743,23.597248,24.306345499999995
KOR,-2.549507,-0.6137467,4.2128873,10.464574,15.45946,19.95235,23.609705,24.236296,19.404652,13.337976,6.557786,0.14620553,11.184886510833332
KWT,12.472579,14.604584,19.087627,24.319906,30.662266,34.45655,35.958492,35.784676,32.755928,27.217443,20.007635,14.134381,25.121838916666665
LAO,19.315933,21.083649,23.421955,25.664173,26.258152,26.156576,25.766836,25.551706,25.209734,23.95046,21.764948,19.566475,23.64254975
LBN,7.118861,7.7972097,10.366451,14.243036,18.22491,21.654957,23.939688,24.45683,22.422098,18.960669,13.390245,8.618593,15.932795641666665
LBR,25.381884,26.113644,26.68519,26.47929,26.000538,25.248646,24.181469,23.912832,24.632328,25.195696,25.545528,25.191874,25.38074325
LBY,12.52262,14.694948,17.891094,22.093075,26.380741,29.052948,29.486765,29.253653,27.490265,23.52545,18.145191,13.741341,22.023174249999997
LCA,24.329817,24.098623,24.626606,25.23578,26.266514,26.607798,26.397247,26.61147,26.475687,26.25413,25.855045,24.954586,25.64277525
LIE,-2.171101,-1.2,2.298165,5.775688,10.153669,13.297247,15.183487,14.716972,11.783486,7.198165,2.1325688,-0.9912844,6.514755200000001
LKA,25.157022,25.965021,27.151424,27.871893,28.15867,27.756124,27.509287,27.30279,27.28305,26.685516,25.921438,25.358332,26.84338058333334
LSO,17.892414,17.21444,15.5744095,12.254042,8.933809,6.256516,6.479445,8.464137,11.910532,13.701752,15.1169615,16.668076,12.53887783333333
LTU,-4.8281126,-4.408469,-0.42138618,6.2473464,12.113564,15.554888,17.623066,16.844069,12.47789,7.0057716,1.7177427,-2.56962,6.446395826666667
LUX,1.0388392,1.9975765,5.301403,8.6539545,12.998596,15.916453,17.66384,17.2588,14.181314,9.810523,4.9132013,2.10625,9.320062541666667
LVA,-5.161258,-5.1513176,-1.452637,5.160033,11.028722,14.841212,17.210884,16.296366,11.812094,6.441165,1.2416666,-3.0318873,5.769586891666667
MAC,15.617432,16.033945,18.716513,22.600918,26.237616,27.890827,28.702753,28.545872,27.755962,25.025688,21.134861,17.110092,22.947706583333332
MAR,9.889163,11.334067,13.545851,15.8319,19.248304,22.958578,26.299412,26.346857,22.94875,18.627516,14.308594,10.881398,17.6850325
MCO,5.872477,6.3174314,8.314679,10.876146,14.413762,18.058716,20.708256,20.823853,18.119267,14.10734,9.618349,7.0779815,12.859021491666665
MDA,-3.1364477,-1.7578214,3.0582647,10.000623,16.069315,19.650005,21.653732,21.022795,16.322803,10.269518,4.286142,-0.723785,9.726261966666668
MDG,25.10679,24.99214,24.80653,23.861353,22.135952,20.330902,19.63956,20.2255,21.548716,23.138744,24.26284,24.728394,22.898118416666666
MDV,27.42738,27.90893,28.234821,28.62768,28.37738,27.95119,27.599405,27.555655,27.46399,27.45893,27.440775,27.372915,27.78492091666666
MEX,15.468297,16.766376,18.783476,21.458698,23.697353,25.30461,25.397154,25.301489,24.188961,21.68249,18.210789,15.786148,21.003820083333334
MHL,27.37143,27.431845,27.58869,27.78482,27.86905,27.920834,27.903275,27.961605,27.89732,27.858631,27.815475,27.624105,27.752256666666668
MKD,-1.2211479,0.40864795,4.329864,8.8511305,13.65034,17.225647,19.922806,19.916403,16.08938,10.714209,5.2863183,0.7079847,9.656798545833334
MLI,21.189978,24.022583,27.415503,30.655178,32.992203,33.235813,31.753052,30.25524,30.32836,29.443417,25.759548,21.888311,28.24493216666666
MLT,12.507798,12.69633,13.897247,15.972018,19.079817,22.85688,25.569725,26.316975,24.532568,21.269266,17.481192,14.134862,18.8595565
MMR,18.059391,19.545027,22.340397,24.913074,25.251888,24.886461,24.649075,24.572184,24.635298,23.720793,21.23452,18.610628,22.701561333333334
MNE,-0.99291295,0.110491075,3.9475262,8.296912,13.060565,16.646708,19.347248,19.325466,15.410324,10.255859,5.170238,1.3175037,9.32466066875
MNG,-21.235401,-17.95588,-9.257488,1.7768781,9.603489,15.393059,17.757744,15.790916,9.389232,0.9404321,-10.582318,-18.784733,-0.5970058166666679
MNP,26.211926,26.027523,26.402752,27.130276,27.63211,28.257797,28.134863,27.908258,28.136698,28.027523,27.715597,26.936697,27.376834999999996
MOZ,26.00264,25.870203,25.459322,24.14048,22.073639,20.050152,19.515234,20.893045,23.118608,25.227095,26.141184,26.101421,23.716085250000003
MRT,20.084991,22.209673,25.025404,27.962225,31.160492,33.158173,33.083305,32.03254,30.978827,29.188446,24.93648,20.576458,27.533084499999998
MSR,23.563303,23.43211,23.697247,24.232111,25.298166,25.865137,26.04679,26.222937,26.111927,25.756882,25.133945,24.237614,24.966514083333333
MTQ,24.20134,24.027454,24.464285,25.074778,26.060268,26.4375,26.269644,26.501339,26.362722,26.11741,25.744867,24.822544,25.507012583333335
MUS,25.3825,25.458927,25.313305,24.387857,22.715715,21.091875,20.220268,20.063305,20.735714,21.864553,23.278393,24.523214,22.919635500000002
MWI,23.1957,23.111834,22.99789,22.046886,20.16465,18.284325,17.747217,19.256859,21.76717,24.173893,24.696478,23.832039,21.772911750000002
MYS,25.068142,25.211327,25.65504,26.047552,26.131113,25.92244,25.683752,25.703043,25.583126,25.507933,25.322155,25.234,25.589135249999998
MYT,27.38624,27.33945,27.770641,27.468807,26.689907,24.977064,24.308256,24.589909,25.522018,26.791742,27.49358,27.394495,26.477675750000003
NAM,24.208158,23.68229,22.716309,20.609478,17.354351,14.797717,14.3665285,16.191744,19.223759,21.694698,22.928589,23.85888,20.136041791666663
NCL,25.11134,25.219658,24.679117,23.267056,21.616264,20.31352,19.283161,19.30061,20.054615,21.586935,23.04177,24.228407,22.308537750000003
NER,19.23638,22.211702,26.295284,30.379856,32.70287,32.698402,31.190586,30.030481,30.187353,28.563892,24.146805,20.342003,27.332134499999995
NFK,21.808256,22.072477,21.678898,20.02477,18.26055,16.927523,15.778898,15.722018,16.106422,17.401834,18.815596,20.466055,18.75527475
NGA,24.738369,27.088943,29.261927,30.038494,29.095678,27.49216,25.965733,25.316957,26.043179,26.935863,26.28504,24.897831,26.9300145
NIC,23.90341,24.498028,25.500326,26.32219,26.28957,25.529787,25.431004,25.327276,25.22914,24.979998,24.234661,23.932148,25.098128166666665
NIU,25.981192,26.113302,25.955505,25.314678,24.163761,23.569265,22.733944,22.811468,23.303211,23.979359,24.514679,25.161926,24.4668575
NLD,2.398871,2.7742648,5.455252,8.296429,12.517936,15.159218,17.176445,17.085346,14.339943,10.356854,6.0705357,3.581171,9.601022125
NOR,-8.109874,-8.136138,-5.2397842,-0.84357405,4.454733,9.162099,12.146734,10.841938,6.7770357,1.4828413,-3.2144394,-6.240403,1.0900973625000001
NPL,3.8774166,5.410737,9.876257,14.061562,16.958927,18.86283,18.850256,18.542341,17.365139,13.538821,8.92719,5.3368106,12.634023933333337
NRU,27.74679,27.805506,27.670643,27.763302,27.912846,27.77156,27.78532,27.800919,27.2789,27.958715,27.969723,27.842203,27.775535583333326
NZL,14.818802,15.018147,13.48588,10.970954,8.122658,5.8924117,5.122958,6.108475,7.923893,9.864172,11.559935,13.456924,10.195434141666665
OMN,19.956554,20.847885,23.411777,26.708261,29.541037,30.12234,28.783514,27.802624,27.555725,26.232067,23.869596,21.405636,25.519751333333332
PAK,8.127531,10.235663,15.558725,20.978806,25.514336,28.416286,28.357555,27.166416,24.75347,20.401512,14.736856,9.892018,19.511597833333333
PAN,24.932056,25.217741,26.053751,26.369608,26.068075,25.374636,25.61001,25.285387,24.97701,24.86408,24.519773,24.527119,25.316603833333335
PCN,22.4875,23.042858,22.727678,21.547321,20.142857,18.922321,18.325,17.799107,18.283035,19.147322,20.147322,21.458927,20.335937333333334
PER,20.620125,20.680883,20.575397,20.24538,19.61715,18.743914,18.389517,18.988218,19.607347,19.990652,20.360397,20.392017,19.850916416666667
PHL,24.714249,24.818224,25.62684,26.584696,26.938786,26.512997,26.069057,26.07867,25.948391,25.85738,25.490599,25.019123,25.804917666666658
PLW,27.111927,27.169113,27.33425,27.736088,27.803364,27.57156,27.322323,27.382874,27.468195,27.61529,27.60673,27.46789,27.465800333333334
PNG,25.83984,25.73493,25.68098,25.564297,25.279926,24.768135,24.337368,24.413464,24.816372,25.361609,25.70571,25.892307,25.2829115
POL,-2.6309242,-1.4862068,2.4845738,7.4602637,13.005648,15.95869,17.989294,17.392649,13.386203,8.411371,3.1248708,-0.69153816,7.867074511666668
PRI,22.986141,22.996895,23.468386,24.098824,25.255419,25.807384,25.92654,26.2916,26.198559,25.818832,25.035107,23.933441,24.818094
PRK,-12.000346,-8.720927,-1.9054201,6.4044733,12.374562,17.19257,20.967733,21.09256,15.245508,8.269211,-0.5224073,-8.931716,5.788816741666667
PRT,9.273903,9.938265,11.682998,13.311829,15.857968,19.140528,21.52129,21.894182,19.925985,16.343023,12.398671,9.921191,15.100819416666665
PRY,27.726858,27.057041,25.8754,23.090696,20.184496,18.57854,18.395855,20.378872,22.548185,24.547472,25.948635,27.277325,23.467447916666668
PSE,11.455781,12.249044,14.315503,17.911995,21.385805,24.082478,25.976048,26.415964,24.970978,22.379618,17.657063,13.309191,19.342455666666666
PYF,25.573362,25.717113,25.886978,25.707886,24.9814,24.277157,23.774925,23.67314,23.952753,24.460268,25.028795,25.384449,24.8681855
QAT,16.829494,18.296844,21.868183,26.614523,31.842203,34.40464,35.63729,35.31131,32.850895,28.850208,23.821636,18.928751,27.104664749999998
REU,23.10759,23.070312,22.737947,21.66942,19.858706,18.28616,17.390179,17.481472,18.304688,19.709822,21.074108,22.389286,20.4233075
ROU,-3.039548,-1.2015418,3.8071659,9.767342,15.04122,18.407108,20.300108,19.816278,15.685701,10.185421,4.4266806,-0.5243495,9.389298766666666
RUS,-26.392725,-24.41398,-17.173244,-7.024545,2.5323465,10.722704,14.468657,11.932869,5.5548244,-4.897644,-17.285553,-24.17677,-6.346088341666666
RWA,18.875334,19.144474,19.03616,18.94241,18.74241,18.389732,18.290514,19.000614,19.117746,18.982756,18.743303,18.73192,18.833114416666664
SAU,15.524118,17.182533,20.480373,24.516163,28.95466,31.503712,31.954975,32.125317,30.188889,25.942402,21.026196,16.918453,24.693149249999994
SDN,22.079866,23.750126,26.362082,28.76279,30.065744,29.99937,28.786997,28.31515,28.421219,27.883184,25.093311,22.606365,26.843850333333336
SEN,24.350523,26.260147,28.280636,29.972698,30.923044,30.18179,28.524658,27.64302,27.858368,28.739437,27.194561,24.522818,27.870975000000005
SGP,26.263302,26.724771,27.173395,27.490826,27.711008,27.589909,27.236698,27.298166,27.148624,27.167889,26.781652,26.401834,27.082339500000003
SHN,19.6,20.5,20.6,19.9,19.1,17.45,16.4,15.8,16.1,16.2,17.1,18.3,18.0875
SJM,-16.281351,-16.94954,-16.80829,-13.450421,-6.1337557,0.113148406,3.7571914,2.7475421,-1.7297337,-7.2944,-11.440909,-14.735525,-8.183836957833334
